Ep    100/50000 | avg:    16.6  min:     3.5  max:    53.0 | len:    17 | actor loss:  33.5633 | critic loss:  33.5633 | σ: [0.972, 0.983, 0.975] | best: -inf | elapsed: 00:00:03  (508 steps/s)
Ep   5400/50000 | avg:    54.7  min:    11.9  max:    63.4 | len:    41 | actor loss: 116.3526 | critic loss: 116.3526 | σ: [0.891, 1.002, 0.997] | best: 54.1 | elapsed: 00:04:07  (603 steps/s)
  → New best! Saved to reinforce_best_ep5400_avg55.pt
Ep   5500/50000 | avg:    57.9  min:    18.6  max:    64.7 | len:    43 | actor loss: 121.6286 | critic loss: 121.6286 | σ: [0.901, 0.993, 0.999] | best: 54.7 | elapsed: 00:04:13  (816 steps/s)
  → New best! Saved to reinforce_best_ep5500_avg58.pt
Ep   5600/50000 | avg:    57.7  min:    16.9  max:    66.6 | len:    46 | actor loss: 121.3373 | critic loss: 121.3373 | σ: [0.903, 0.999, 1.010] | best: 57.9 | elapsed: 00:04:19  (730 steps/s)
Ep   5700/50000 | avg:    60.6  min:    13.5  max:   187.5 | len:    59 | actor loss: 108.3789 | critic loss: 108.3789 | σ: [0.902, 0.992, 1.015] | best: 57.9 | elapsed: 00:04:27  (718 steps/s)
  → New best! Saved to reinforce_best_ep5700_avg61.pt
Ep   5800/50000 | avg:   102.1  min:    12.1  max:   417.3 | len:   134 | actor loss: 121.7874 | critic loss: 121.7874 | σ: [0.904, 0.993, 1.019] | best: 60.6 | elapsed: 00:04:45  (750 steps/s)
  → New best! Saved to reinforce_best_ep5800_avg102.pt
Ep   5900/50000 | avg:   128.3  min:    11.8  max:   356.2 | len:   164 | actor loss: 147.9150 | critic loss: 147.9150 | σ: [0.911, 0.999, 1.014] | best: 102.1 | elapsed: 00:05:08  (713 steps/s)
  → New best! Saved to reinforce_best_ep5900_avg128.pt
Ep   6000/50000 | avg:    72.7  min:     5.7  max:   238.6 | len:    73 | actor loss: 116.7304 | critic loss: 116.7304 | σ: [0.914, 0.993, 1.012] | best: 128.3 | elapsed: 00:05:17  (819 steps/s)
Ep   6100/50000 | avg:    57.5  min:    10.0  max:   104.2 | len:    48 | actor loss: 113.3245 | critic loss: 113.3245 | σ: [0.913, 0.997, 1.011] | best: 128.3 | elapsed: 00:05:25  (626 steps/s)
Ep   6200/50000 | avg:    64.9  min:    15.5  max:   171.0 | len:    58 | actor loss: 119.4031 | critic loss: 119.4031 | σ: [0.906, 1.007, 1.014] | best: 128.3 | elapsed: 00:05:32  (820 steps/s)
Ep   6300/50000 | avg:    58.1  min:    10.3  max:   114.3 | len:    47 | actor loss: 112.2519 | critic loss: 112.2519 | σ: [0.906, 1.007, 1.002] | best: 128.3 | elapsed: 00:05:39  (637 steps/s)
Ep   6400/50000 | avg:    58.3  min:     9.7  max:   112.0 | len:    47 | actor loss: 115.8290 | critic loss: 115.8290 | σ: [0.906, 1.009, 0.993] | best: 128.3 | elapsed: 00:05:45  (821 steps/s)
Ep   6500/50000 | avg:    59.7  min:    17.3  max:    93.9 | len:    52 | actor loss: 114.6754 | critic loss: 114.6754 | σ: [0.895, 1.012, 0.990] | best: 128.3 | elapsed: 00:05:52  (689 steps/s)
Ep   6600/50000 | avg:    51.9  min:    10.4  max:    79.0 | len:    46 | actor loss: 104.8426 | critic loss: 104.8426 | σ: [0.893, 1.015, 0.989] | best: 128.3 | elapsed: 00:05:58  (753 steps/s)
Ep   6700/50000 | avg:    52.1  min:     6.8  max:    72.0 | len:    46 | actor loss: 105.6590 | critic loss: 105.6590 | σ: [0.896, 1.017, 0.984] | best: 128.3 | elapsed: 00:06:04  (792 steps/s)
Ep   6800/50000 | avg:    51.9  min:    22.4  max:    63.1 | len:    44 | actor loss: 109.4088 | critic loss: 109.4088 | σ: [0.894, 1.028, 1.002] | best: 128.3 | elapsed: 00:06:11  (643 steps/s)
Ep   6900/50000 | avg:    50.9  min:    15.0  max:    66.0 | len:    44 | actor loss: 105.0620 | critic loss: 105.0620 | σ: [0.894, 1.026, 0.999] | best: 128.3 | elapsed: 00:06:16  (825 steps/s)
Ep   7000/50000 | avg:    54.6  min:     6.7  max:    81.9 | len:    45 | actor loss: 112.5789 | critic loss: 112.5789 | σ: [0.886, 1.036, 0.991] | best: 128.3 | elapsed: 00:06:23  (645 steps/s)
Ep   7100/50000 | avg:    53.9  min:    14.7  max:   114.9 | len:    43 | actor loss: 112.7658 | critic loss: 112.7658 | σ: [0.896, 1.032, 0.977] | best: 128.3 | elapsed: 00:06:31  (556 steps/s)
Ep   7200/50000 | avg:    53.5  min:     4.3  max:   105.7 | len:    43 | actor loss: 111.0153 | critic loss: 111.0153 | σ: [0.901, 1.026, 0.969] | best: 128.3 | elapsed: 00:06:38  (644 steps/s)
Ep   7300/50000 | avg:    54.6  min:    28.7  max:    72.4 | len:    47 | actor loss: 110.1429 | critic loss: 110.1429 | σ: [0.897, 1.025, 0.969] | best: 128.3 | elapsed: 00:06:44  (741 steps/s)
Ep   7400/50000 | avg:    64.2  min:     9.6  max:   118.0 | len:    60 | actor loss: 118.0855 | critic loss: 118.0855 | σ: [0.906, 1.038, 0.975] | best: 128.3 | elapsed: 00:06:52  (707 steps/s)
Ep   7500/50000 | avg:    66.0  min:     5.1  max:   153.8 | len:    64 | actor loss: 115.7528 | critic loss: 115.7528 | σ: [0.912, 1.040, 0.986] | best: 128.3 | elapsed: 00:07:01  (768 steps/s)
Ep   7600/50000 | avg:    70.4  min:     5.0  max:   138.3 | len:    72 | actor loss: 117.2706 | critic loss: 117.2706 | σ: [0.914, 1.036, 0.978] | best: 128.3 | elapsed: 00:07:11  (703 steps/s)
